model,|w_0|,|w_1|,|w_2|,|w_3|,|w_4|,|w_5|,|w_6|,|w_7|,|w_8|,|w_9|,|w_10|
Without regularization,0.18862426293601442,3.8647157491917783,0.9373125377626847,6.477384097577524,0.8211938102998941,1.0074852655907482,0.15397838558407184,3.247241015744521,0.4943294004080962,6.031576535474519,0.11390658004263085
L1_l=0.002,0.15672696872265413,3.5820306742600643,0.528604070568056,5.949543785973203,0.005913879309772052,0.2589262843581875,0.004171456804011623,2.4641288498968463,0.2655624394801413,5.701098611189909,0.0009515353513812599
L1_l=0.02,0.07282355651127433,1.3814659361080537,0.389946156937412,0.006094024232093287,0.024433760965509508,0.009899324349489154,0.028684159763448493,0.016447963273213635,0.01672967586708111,3.333299840090936,0.014707238469535634
L1_l=0.2,0.035038679353575755,1.8469193739124383,0.00850617216764362,0.09150563815706797,0.021341661692059002,0.13220093088606083,0.005746920177929475,0.16603597641949666,0.004298403268398483,0.18199263038699431,0.00372886957898208
L2_l=0.002,0.15843984943302103,2.414953472827174,0.5607093634178522,2.8409030920771543,0.18017387501746657,0.1701024152576733,0.11411607881108739,2.067949811876108,0.21301380168686787,3.591419065329078,0.06806186784454682
L2_l=0.02,0.10309332066710074,1.193597652024435,0.24808738848195644,0.25137539638681067,0.1212821875973571,0.6381509746417262,0.1127157790247498,0.9867990060866633,0.09516698575899864,1.2266152533118633,0.05943897373437948
L2_l=0.2,0.005469079611558597,0.8170278018701067,0.09237871344944029,0.5729263513857047,0.0701000819293253,0.5317122637672832,0.057821393337255854,0.5142632172902525,0.04681908883636968,0.5004419195862135,0.03596301903499804
ElasticNet_l1=0.002;l2=0.002,0.14564336152790683,2.2669317319838345,0.46729787110864174,2.4936721726125115,0.0012917074747783083,0.012920818233961677,0.07444119644146295,1.7894513178614357,0.16953804762778682,3.424349903782782,0.017783402441231812
ElasticNet_l1=0.02;l2=0.02,0.03267058866086724,1.2237080000297993,0.19243998393331194,0.25285326704849065,0.09176642610949427,0.5988637609333933,0.06088335240055581,0.911686260934531,0.02837605359802889,1.1218276067667736,0.020383865467224885
ElasticNet_l1=0.2;l2=0.2,0.03757872419509197,0.7569591412268245,0.028087515304696522,0.4221828087426705,0.01676302000652154,0.3279553892191476,0.017919894599130577,0.27481071840165927,0.005537743580952268,0.2351082426834803,0.0021438849631952943
